shipment_id,origin,destination,distance,weather,traffic,Port_Congestion,Eta_Hours,Carrier_History,delay
1,Pune,Jaipur,1092,High,,3.0,40.0,Good,0
2,Chennai,Mumbai,1746,Low,Medium,0.0,68.0,Poor,0
3,Ahmedabad,Mumbai,1739,Medium,Low,3.0,64.0,Average,0
4,Hyderabad,Chennai,927,Medium,Low,3.0,36.0,Good,0
5,Pune,Jaipur,782,Low,Low,,14.0,,0
6,Lucknow,Kolkata,1583,High,High,4.0,34.0,Good,1
7,Bangalore,Bangalore,1103,High,Low,3.0,12.0,Good,1
8,Pune,Mumbai,455,Low,Low,3.0,42.0,Good,0
9,Ahmedabad,Chennai,1107,Low,Medium,4.0,13.0,Poor,0
10,Hyderabad,Jaipur,1447,Medium,Low,3.0,34.0,Poor,0
11,Chennai,Bangalore,1256,Low,High,3.0,,Good,1
12,Ahmedabad,Jaipur,987,High,Low,3.0,,Average,1
13,Ahmedabad,Pune,1928,Low,High,1.0,35.0,Average,0
14,Bangalore,Chennai,1963,Medium,Low,4.0,71.0,Poor,0
15,Kolkata,Bangalore,226,Medium,Low,3.0,71.0,Poor,0
16,Hyderabad,Lucknow,1229,Medium,Low,4.0,14.0,Poor,0
17,Delhi,Hyderabad,1108,Medium,Low,2.0,44.0,Poor,0
18,Ahmedabad,Hyderabad,703,Medium,High,2.0,70.0,Poor,0
19,Kolkata,Bangalore,1922,Low,High,3.0,37.0,Average,1
20,Delhi,Jaipur,1501,Low,Medium,4.0,38.0,Poor,0
21,Hyderabad,Chennai,1113,Low,High,4.0,18.0,Good,0
22,Mumbai,Hyderabad,150,Low,Low,4.0,61.0,Good,0
23,Lucknow,Chennai,1152,Medium,Medium,1.0,47.0,Average,0
24,Kolkata,Hyderabad,1585,High,Medium,2.0,59.0,Good,0
25,Jaipur,Pune,1419,Low,Medium,4.0,15.0,Average,0
26,Mumbai,Jaipur,1420,High,Low,4.0,28.0,Average,1
27,Lucknow,Pune,1849,Low,High,1.0,69.0,Good,0
28,Bangalore,Hyderabad,878,Low,Low,1.0,53.0,Poor,0
29,Pune,Lucknow,1530,High,Medium,4.0,66.0,Good,1
30,Chennai,Lucknow,1892,Medium,Low,0.0,20.0,Good,0
31,Jaipur,Pune,913,Low,Low,4.0,11.0,Average,0
32,Bangalore,Lucknow,1736,Low,High,4.0,56.0,Good,1
33,Hyderabad,Hyderabad,1528,Low,,1.0,53.0,,1
34,Bangalore,Bangalore,1469,High,Medium,1.0,53.0,Poor,0
35,Pune,Pune,1745,Medium,Low,4.0,18.0,Poor,0
36,Hyderabad,Delhi,519,High,Low,4.0,30.0,Poor,1
37,Jaipur,Jaipur,1305,High,High,4.0,33.0,Good,1
38,Pune,Lucknow,1082,Medium,Low,1.0,43.0,Average,0
39,Delhi,Lucknow,924,High,,4.0,31.0,,0
40,Chennai,Mumbai,1124,Medium,Low,,12.0,Average,0
